snapped_at,price,market_cap,total_volume,Yesterday_Price,Day_Change,Tomorrow Price
2013-04-28 00:00:00 UTC,135.3,1500517590.0,0.0,135.3,0.0,141.96
2013-04-29 00:00:00 UTC,141.96,1575032004.0,0.0,135.3,6.659999999999997,135.3
2013-04-30 00:00:00 UTC,135.3,1501657493.0,0.0,141.96,-6.659999999999997,117.0
2013-05-01 00:00:00 UTC,117.0,1298951550.0,0.0,135.3,-18.30000000000001,103.43
2013-05-02 00:00:00 UTC,103.43,1148667722.0,0.0,117.0,-13.569999999999991,91.01
2013-05-03 00:00:00 UTC,91.01,1011066494.0,0.0,103.43,-12.420000000000002,111.25
2013-05-04 00:00:00 UTC,111.25,1236351844.0,0.0,91.01,20.239999999999995,116.79
2013-05-05 00:00:00 UTC,116.79,1298377788.0,0.0,111.25,5.540000000000006,118.33
2013-05-06 00:00:00 UTC,118.33,1315992304.0,0.0,116.79,1.539999999999992,106.4
2013-05-07 00:00:00 UTC,106.4,1183766500.0,0.0,118.33,-11.929999999999993,112.64
2013-05-08 00:00:00 UTC,112.64,1253655040.0,0.0,106.4,6.239999999999995,113.0
2013-05-09 00:00:00 UTC,113.0,1258130700.0,0.0,112.64,0.3599999999999994,118.78
2013-05-10 00:00:00 UTC,118.78,1322989457.0,0.0,113.0,5.780000000000001,113.01
2013-05-11 00:00:00 UTC,113.01,1259239352.0,0.0,118.78,-5.769999999999996,114.713
2013-05-12 00:00:00 UTC,114.713,1278708679.0,0.0,113.01,1.7029999999999887,117.18
2013-05-13 00:00:00 UTC,117.18,1306721052.0,0.0,114.713,2.467000000000013,114.5
2013-05-14 00:00:00 UTC,114.5,1277278988.0,0.0,117.18,-2.680000000000007,114.156
2013-05-15 00:00:00 UTC,114.156,1273849681.0,0.0,114.5,-0.3439999999999941,115.5
2013-05-16 00:00:00 UTC,115.5,1289277412.0,0.0,114.156,1.343999999999994,123.1
2013-05-17 00:00:00 UTC,123.1,1374605382.0,0.0,115.5,7.599999999999994,123.88
2013-05-18 00:00:00 UTC,123.88,1383755085.0,0.0,123.1,0.7800000000000011,120.501
2013-05-19 00:00:00 UTC,120.501,1346499262.0,0.0,123.88,-3.3789999999999907,122.58
2013-05-20 00:00:00 UTC,122.58,1370131821.0,0.0,120.501,2.078999999999993,122.9
2013-05-21 00:00:00 UTC,122.9,1374154118.0,0.0,122.58,0.3200000000000074,123.0
2013-05-22 00:00:00 UTC,123.0,1375791900.0,0.0,122.9,0.0999999999999943,125.748
2013-05-23 00:00:00 UTC,125.748,1407041528.0,0.0,123.0,2.7480000000000047,131.7
